qseqid	TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
E250118428L1C021R03802901807|Cx:i:12616|Cy:i:19682|BC08AF153171|47FD8	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C022R03901365404|Cx:i:13961|Cy:i:14706|185B754F3D0D5|7541B	9601	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
E250118428L1C025R02902762018|Cx:i:8702|Cy:i:15008|1A7F851401CA3|51556	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C026R01804881836|Cx:i:17064|Cy:i:8936|15E4D51440511|B2505	111789	unknown	unknown	unknown	unknown	unknown	unknown	eukaryotic synthetic construct
E250118428L1C027R03703818058|Cx:i:16939|Cy:i:9169|19390E4A0181D|604F2	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C028R04002807303|Cx:i:15885|Cy:i:15819|199FD40296822|D01DA	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C029R00304525501|Cx:i:14901|Cy:i:14570|2BB185C6840D4|79516	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C029R01903592940|Cx:i:19055|Cy:i:13724|8CA870900850|53288	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C030R03602027131|Cx:i:3283|Cy:i:10129|29C208BA47338|56356	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C031R00500283422|Cx:i:10905|Cy:i:16118|2251E55B0061E|B36DE	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C031R01101718967|Cx:i:16482|Cy:i:9491|740477B91E8A|27A3C	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C032R02900829848|Cx:i:14533|Cy:i:21597|94454D411110|652D1	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C032R03302665649|Cx:i:3916|Cy:i:2303|8C04B03C13EB|5BFE5	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C033R01802112383|Cx:i:5485|Cy:i:18970|505345500016|51408	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C034R03203349253|Cx:i:14912|Cy:i:18516|2901880E48D37|67E88	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
